valor_fatura_centavos,valor_pago_centavos,inadimplente
184501,7627,0
10172,3000,0
98441,4000,0
66114,5000,0
3785,1142,0
158920,8000,0
1200,990,0
10438,0,0
14769,1573,0
2199,1530,0
49544,1970,0
69392,3046,0
5208,654,0
15148,0,0
61614,45889,0
82064,4000,0
69572,2828,0
16616,2500,0
43379,3628,1
58943,2800,0
10000,10000,0
58363,56270,0
58841,3700,0
60289,1580,1
128166,3844,0
175904,8000,1
29568,3701,0
14517,2500,1
9363,1200,0
17471,1400,0
44737,2103,1
10361,10000,0
104335,5500,0
711,878,1
2324,1064,0
9530,7000,0
2475,2475,0
41322,0,0
35103,10000,0
10540,1081,0
17541,2000,0
33918,20000,0
12436,3380,0
80534,3006,0
12619,2800,1
6565,0,0
128302,2371,0
15145,2000,1
45021,2100,0
48991,2000,0
201169,16286,0
1006,1855,0
31462,6037,0
31746,1800,1
25631,2500,0
651,1883,0
22329,2000,1
10512,2000,1
132070,6000,0
5857,1117,0
44109,5000,0
38386,316,1
10149,2000,0
11325,1519,0
13896,2000,1
15654,1330,1
20138,8267,1
184650,0,0
17582,0,0
586,14076,0
38924,5000,0
66623,2500,0
59712,3000,0
69116,2500,0
44498,3240,1
99387,5250,0
33589,3000,0
17560,2537,1
45429,2819,0
71921,368199,0
28063,1700,0
177633,5203,0
13733,2037,0
138379,9000,1
520,1339,0
9314,2020,0
7963,1321,1
113647,3000,0
32547,1582,0
3925,11253,0
49467,1472,0
147048,6364,0
53049,16018,0
38965,0,1
9933,1370,1
43729,2045,0
181550,10000,0
15679,1100,1
15175,1579,0
4600,2000,0
15332,10000,0
296846,7143,0
16961,2000,0
29664,1018,0
500,0,0
24014,2274,1
65324,2106,0
87916,5800,1
30349,0,0
671,671,1
76917,4000,0
50459,1600,0
3781,1710,0
20838,3000,1
156400,7200,0
7429,24325,0
8011,1320,0
8134,2000,0
23469,1437,0
29596,1600,0
3635,1100,1
48423,2150,1
29804,20044,0
38499,1743,0
128808,10000,0
7340,0,0
5744,33115,0
105365,5030,1
165602,80000,0
89095,6000,0
3377,1000,0
17990,0,0
11067,12405,0
22683,2219,0
15703,4663,0
13006,524,0
9317,10000,1
116497,5000,0
5523,8037,1
14885,1939,1
4759,0,1
991,991,0
27563,5002,0
729,0,0
2346,0,1
29717,0,0
2477,3470,0
7300,3238,1
83150,0,0
21004,0,1
26836,2500,1
41298,2000,0
258364,45446,0
128146,4052,0
5143,6159,0
162530,6100,0
47642,4000,0
184144,8017,0
47757,1468,0
3719,1000,0
5154,1124,0
2522,0,0
12695,3000,0
185070,7022,0
630,825,0
1473,1473,1
8214,2151,1
970,1303,0
997,1270,0
26736,3000,0
4535,0,1
20914,10087,0
87235,4000,0
276758,12000,0
53567,6950,0
14472,680,0
40994,5500,0
204191,9000,0
3299,599,0
40538,1988,0
17179,1300,1
161766,7000,0
93970,3799,0
1485,0,0
26273,0,1
50342,8025,0
62824,2178,1
107372,5000,0
150739,7000,0
532,1106,0
19073,3895,0
1757,3579,0
18338,2000,0
47243,2000,1
63603,7666,0
1197,0,1
99518,937,0
76184,3345,0
84718,0,1
42243,7773,0
28129,1800,1
170845,6800,0
43747,1746,0
1638,54490,0
47662,2000,0
69866,10000,0
82609,3106,0
16149,1223,0
4197,4711,0
17775,1500,0
105356,3931,1
30415,2006,0
3493,12498,0
16659,1600,0
3759,8873,0
9358,1216,0
146756,5500,0
9784,2303,1
12907,316,0
107028,4000,0
44242,25000,0
83412,3700,0
28569,1400,0
47445,1697,1
25045,15522,0
70966,5606,0
117775,5700,0
30773,4000,0
890,390,1
13770,1522,0
109259,5400,0
12091,0,0
30627,4008,0
660,1320,1
61785,3848,0
35906,2000,0
24677,3000,1
61015,3016,0
109114,2835,0
294475,12021,0
2522,0,0
100802,5200,0
3274,86682,1
214423,10000,0
35214,3900,0
50995,2500,0
13165,2100,0
57798,2050,0
21635,0,1
19203,0,1
3680,13517,0
3450,12174,0
8432,1300,0
50019,1400,0
78592,3700,0
5678,1010,0
49772,2082,0
69311,0,1
28611,1352,0
17154,5095,0
53111,4000,1
265044,73000,0
41799,2027,0
552,0,0
1243,0,0
8679,1190,1
20208,5209,0
106140,3003,1
19062,1333,0
13530,1258,0
4524,2000,1
1261,1261,0
33459,3000,0
167358,11000,0
4679,1000,0
54663,11000,0
43583,7500,0
101761,3856,1
72083,5031,0
56839,2700,1
28401,3434,1
16372,15420,0
19734,3000,0
89488,5016,0
20614,5001,0
35145,2000,0
5287,5717,0
65763,3000,0
163529,4700,0
278863,0,1
2920,4060,0
71230,2500,1
12485,1221,1
11394,3600,0
14038,12000,0
597,6507,0
181814,7035,0
1956,2060,0
18472,2690,0
17039,7540,0
92464,3600,0
63486,4330,1
16199,0,0
60700,5000,0
3217,11435,0
23940,75000,0
224662,10160,0
2806,652,1
48585,2220,1
3486,550,1
77637,4400,0
75296,3000,0
25718,0,0
8612,2202,0
8558,1471,0
8404,16835,0
24794,2000,0
147891,5004,1
160580,13714,1
40352,1523,0
49722,2200,0
2690,2500,1
246659,11000,0
1430,0,0
16320,0,0
154753,7000,0
14605,2000,0
56437,3000,0
16659,10000,0
47110,2401,0
126205,4998,0
13486,0,1
17795,4125,0
127609,6000,0
17962,1336,0
21763,0,0
22212,0,0
42435,3000,1
3063,3625,1
8059,11680,0
56373,2129,0
10000,10000,0
87590,17200,1
47605,2300,0
13200,9863,0
10830,2749,0
87673,9100,1
18595,1310,0
255834,9425,0
24510,2000,0
185441,10000,0
156238,10000,0
56166,2760,1
133094,5005,0
49032,2599,0
61099,4160,0
10622,1500,1
3916,2886,0
19926,4158,1
10119,3000,0
25334,6867,0
14554,1260,0
39000,1900,0
19969,8000,0
2165,15000,1
2779,22595,0
3062,112000,0
24282,1500,0
1801,9556,0
23820,2005,0
28383,0,0
21409,1000,0
187889,8000,0
81562,11,1
29676,1513,0
20000,1685,0
212968,237000,0
14401,4374,0
27748,1500,0
4762,1000,0
28889,2002,0
5807,1600,0
22280,1748,0
51444,2000,0
8862,3220,0
172567,7000,0
9146,10957,0
26319,1800,0
41897,4000,0
2970,430,0
30003,1643,0
101023,3580,0
24708,1995,0
256324,12009,0
7770,5846,0
111880,4000,0
18599,1321,0
2389,1064,0
10920,3939,0
32540,14163,1
2500,0,0
1149,1424,0
112391,5000,0
6242,1776,0
15004,2452,1
14692,1269,0
39685,1600,0
600,0,0
31570,2000,0
78913,2900,0
201324,10646,0
82150,0,0
51614,2000,0
91458,3137,0
56998,3601,0
1596,0,0
36831,28791,0
36676,2165,0
16219,1674,1
141697,7000,0
5800,1000,1
67371,3100,0
1207,5590,1
16648,1588,0
1070,4107,0
91272,5000,0
75433,27486,0
44751,1500,0
250121,10236,0
34084,4085,0
157122,0,0
150527,7000,0
265803,16770,0
1117,0,0
21787,1382,0
2400,0,1
203385,5891,0
137723,7000,0
166988,8000,0
8065,49362,0
26928,3600,1
749,60295,1
1473,1473,1
2007,21817,0
178854,2600,1
631,1800,1
24796,3000,0
69926,4000,0
19961,1500,0
61089,0,1
69794,3000,0
10448,1211,1
141330,8000,0
10361,0,0
19081,1170,0
4377,0,0
281663,80019,0
12193,2000,0
97584,3600,0
65600,2300,0
25899,0,1
38604,1575,0
3440,6140,0
15472,14877,0
13747,1500,1
997,40297,0
122193,5004,0
17790,1000,1
17541,1762,0
49005,2141,0
650,300,1
8286,1400,0
29742,1406,1
35077,3407,0
27429,2403,0
100016,0,1
3872,2000,0
9507,4405,0
134733,9148,0
261974,15000,0
41057,1300,0
33319,1700,1
6066,1200,0
1085,326,1
292907,0,1
46202,1784,0
2500,0,0
61432,0,1
52935,0,1
57259,2500,1
53044,1607,0
120528,7000,0
25988,1815,0
13922,3000,0
17973,2800,0
7244,1142,0
63115,1988,0
71708,3200,0
130705,6500,1
3244,8339,0
17368,0,0
40496,1000,0
21027,27994,0
4711,5000,1
47269,2767,0
17166,2000,0
78230,2289,0
162452,5000,0
78658,4514,1
29009,9000,0
77245,8722,0
25063,1545,0
63098,2338,1
78861,2435,0
84094,3081,0
173742,8100,0
27990,1850,0
22027,35000,0
2276,1000,0
9860,0,1
15522,1500,0
20636,1369,1
87815,3800,0
6643,3000,0
40250,23000,0
96898,4826,1
46806,2000,1
107337,3735,0
59929,2110,0
3645,9088,0
50739,1500,0
1261,2261,1
176731,6814,0
241153,10000,1
12793,14212,0
7795,4112,0
16098,1597,1
27371,871,0
37293,1634,0
180962,6601,0
38173,1957,0
31281,2556,0
25706,1434,1
16493,0,1
28054,3600,1
2207,263,0
114538,6000,0
1246,1845,0
193444,15000,0
29048,0,0
8770,6000,1
47276,3000,1
199911,8001,0
9591,1000,0
2000,0,0
1194,2101,0
190547,7158,0
7961,20004,0
577,63895,0
9556,3000,0
39347,1200,0
16787,1700,0
10159,38075,0
48560,4570,0
6005,3000,0
56412,10034,0
30749,20000,0
20650,0,0
10242,2006,0
24457,1716,1
99932,1712,0
6419,1067,0
17708,1615,0
3680,0,0
20452,18832,0
146778,6554,0
23607,2000,0
89538,4000,0
42932,0,1
1147,1147,0
588,592,0
5624,2519,0
126080,7000,0
2410,0,0
38726,1663,0
91656,5110,0
76050,3000,0
48493,2109,0
158809,5380,0
10544,2000,0
6750,15227,0
1326,0,0
3898,0,0
44380,968,0
20661,2500,0
12755,832,0
1392,0,1
12127,0,0
89842,4025,0
30719,1900,0
722,9086,0
12272,2005,0
11729,1000,0
51521,1451,1
36773,3210,0
45810,0,1
78950,2815,1
106540,5000,0
43310,2500,0
95972,5000,0
77595,3700,0
78415,3369,1
50482,6749,0
47603,5705,0
100608,4000,0
26730,1500,0
13540,406,0
10478,1193,0
18301,2026,0
45738,4016,1
46467,1500,0
1264,5478,0
47863,2000,0
17654,0,0
30925,43272,0
64086,6005,0
10896,390,0
132755,6417,0
33814,1766,0
24984,1434,0
135001,6100,0
30941,1751,0
14492,1349,1
96131,4204,0
51139,3500,0
15176,2715,0
18836,2000,0
17450,3200,1
49929,1750,0
19727,2000,0
780,0,0
1127,13030,0
694,656,1
25916,14187,0
18290,25287,0
30488,1600,1
110712,4112,0
3458,3833,0
34751,3500,1
20310,34,0
79867,2163,0
860,0,0
90221,4000,1
14421,5000,1
47378,2105,0
25747,0,1
30045,1000,0
27020,1703,0
25001,141472,0
13359,1300,1
27794,30199,0
222000,10013,0
52156,0,1
153390,15102,0
1643,8000,0
99801,5100,0
11613,1513,0
9589,70000,0
2597,3807,0
106321,4334,1
86761,0,1
166517,150000,0
118109,18008,0
62063,0,0
44625,2174,0
74396,2700,1
277680,12005,0
98761,4000,0
10228,50836,0
57004,0,0
27703,1500,1
232834,9001,0
6936,500,0
71712,3332,0
5520,0,0
73753,5121,0
2521,0,0
3266,390,0
14132,35820,0
5428,9064,0
97763,4500,0
42807,10000,0
4384,0,0
15847,0,1
4975,1200,0
154374,7500,0
26262,4000,0
18019,5559,0
40587,2000,1
11906,55167,0
1725,21711,0
34645,2000,0
39410,3000,0
8140,0,0
29187,1505,0
153470,10000,0
16626,0,1
30121,4000,0
1876,1876,0
48815,2063,0
16303,32000,0
5024,17267,0
2400,0,1
131764,6500,0
13406,13736,0
39177,2000,0
10413,3000,0
103457,10000,0
19350,2000,0
1812,390,0
45709,2000,1
25000,25000,0
15991,0,0
17553,0,1
48497,2089,1
37643,1538,0
47036,1704,0
10817,2000,0
503,694,0
7236,13003,0
18988,1400,0
12178,22452,0
19155,1473,0
49793,1866,0
15596,1470,0
45603,29882,0
155131,6641,0
141552,2157,0
3264,2395,0
71501,1966,0
111053,5020,0
193781,10000,0
13929,2837,0
105509,4285,0
54803,0,1
232501,20000,0
194654,6540,0
8435,169,0
767,9804,1
126786,0,0
144194,6600,1
15100,0,0
14088,1111,0
7102,1893,0
3375,3283,0
780,0,0
44347,0,1
222134,10020,0
120290,6000,0
215459,7412,0
95549,5025,0
17141,1500,0
40514,1800,0
120515,3030,0
24763,10700,0
69852,0,1
4180,7781,0
26177,1800,1
25989,1533,0
32464,1867,0
185111,5000,0
256359,10027,0
46736,30000,1
3872,5409,0
171041,5000,0
14515,0,1
149218,10915,0
1999,10145,0
21171,2028,0
24583,1964,0
15036,1580,0
106298,6451,1
9821,8611,1
88112,4569,0
199802,9231,0
12089,2306,0
290137,15128,0
200332,0,1
23702,1457,0
7855,17512,0
21057,2282,0
21958,1300,0
39826,1900,0
14492,1500,0
23535,0,0
10566,1200,0
18436,1500,0
24611,0,1
78028,3200,0
2948,62635,0
11367,3000,0
168516,6791,0
14591,1900,0
3570,0,1
173630,8000,0
37342,2500,0
187665,0,0
181221,10073,0
38031,2000,0
616,0,0
91538,3354,0
6715,1287,0
63889,2800,0
3024,3462,0
139184,6411,0
3614,0,0
741,6339,0
98033,4620,0
68658,4500,0
23860,0,0
23101,1481,0
21275,1800,1
47631,2000,0
57925,2100,0
16501,0,1
42674,4000,1
120098,4500,0
12650,0,0
44966,1690,0
49244,2000,0
117010,4337,0
233717,10004,0
6008,8008,0
87514,4000,1
2612,3234,0
17180,1500,0
80437,7000,0
36838,1607,0
19363,1200,0
60918,2500,0
17074,15000,0
64254,2211,1
106223,7500,0
3379,0,0
164511,15000,0
158495,5530,0
65275,5000,0
25546,3700,1
189976,15510,1
1094,1335,0
42726,3941,1
17439,1340,0
77506,2900,0
11736,780,0
50174,3000,0
3334,3366,0
5163,0,1
2500,0,0
2341,340,0
3209,0,0
8571,21041,0
174381,7000,0
31666,3000,0
60315,2850,0
1131,0,0
6115,872,0
34704,3000,0
2216,5258,0
524,248,0
4231,1500,1
6313,2426,0
40910,0,0
50747,0,0
3510,0,0
8217,5000,0
65059,3141,0
675,0,0
66831,3021,0
98784,1050,0
23418,1408,0
4742,1277,0
58213,3500,0
1300,628,0
149278,3984,0
17528,1000,0
16888,1616,0
3407,10850,0
27234,1389,0
41789,2100,0
114644,4320,0
108214,5300,0
42659,1500,0
30852,1906,0
17772,1300,1
1762,4,1
18896,2006,0
44739,3000,0
68689,3120,0
727,0,0
94432,0,0
45153,2904,1
18166,3000,0
76187,9834,1
42150,3000,0
36664,1690,0
56893,3000,0
40749,0,0
45465,1706,0
26669,1844,1
13509,500,0
29785,4000,0
293303,50070,0
12060,0,0
3475,1100,0
23912,0,0
769,0,0
19149,1392,0
46741,2900,0
67906,2519,0
66963,3500,1
18231,3000,0
231187,10500,0
16569,11000,0
24146,2024,0
780,0,0
203519,6373,0
125529,8019,0
7466,899,1
9487,0,0
4289,1187,0
17401,0,0
11065,1206,1
8647,1232,0
1152,49349,0
5000,1600,0
169734,6568,1
2482,0,1
42781,2300,1
47750,2180,1
10393,0,0
156683,5808,0
85988,5000,1
46244,1599,1
21450,0,0
65920,3150,0
105080,5540,0
38430,0,1
4965,500,0
2566,4725,0
59331,3500,0
40931,4100,0
16224,2001,0
52149,1173,0
626,626,0
105403,3109,0
187472,9200,0
107934,19000,0
147974,5300,0
35792,2000,0
22343,3000,1
35695,6018,0
525,7797,0
89635,3122,0
20655,1701,0
208603,8444,0
555,0,0
51054,2489,0
5685,0,1
118096,12000,1
109994,17100,1
3556,652,1
4247,1283,0
182396,8300,0
60183,10000,0
28607,0,0
85220,3000,1
2275,0,0
25118,1440,0
115700,6000,0
8857,1400,1
8040,8099,0
15465,1280,0
90874,3000,0
191262,0,0
140876,3600,0
4285,1866,0
1872,1249,0
50297,1852,1
89595,2437,0
8169,3000,0
135056,4547,0
51244,2000,0
45013,2007,0
66978,0,1
18653,1500,1
73839,6700,1
8000,8000,0
15584,4377,0
6872,1204,0
17213,2400,1
792,0,0
162757,5,1
44249,8130,0
80740,3000,0
5014,60207,0
138859,5100,1
4400,942,0
7576,15532,0
35419,0,0
6218,1000,1
49803,1390,0
7789,9666,0
7194,0,1
16235,2200,1
30452,6919,0
77720,3774,0
730,1550,0
37822,3700,0
6772,1128,1
18733,2000,0
48850,0,0
49171,2000,1
42451,2100,0
3634,3000,0
40846,1149,1
125623,5000,0
9240,386,0
1199,2000,0
46693,1158,0
195456,8007,0
48603,1963,1
45747,1618,0
2500,0,0
43098,10615,0
84729,26894,0
231550,5067,0
60660,3500,0
12278,1500,0
15859,3200,0
4310,3905,1
36917,2000,0
65054,1568,0
5942,2500,0
5190,649,1
47399,2361,0
48905,1800,0
5310,2711,0
48403,2550,0
2624,0,0
14409,3540,0
51400,0,0
15335,0,1
39215,11200,0
218675,8717,0
11599,644,0
62319,6000,0
10140,9984,0
3689,3993,0
2013,0,0
277803,16000,0
32507,3000,0
7691,1192,0
9517,36527,0
98048,4000,0
28852,1700,1
51133,10000,0
51016,2098,0
1050,0,1
718,3927,0
17147,1700,0
2500,0,1
19773,1331,1
2646,0,0
1669,416,0
39839,1700,0
21345,6363,0
117492,3985,1
14867,1079,0
52419,0,0
138602,4870,0
3009,3454,0
94953,120656,0
155814,5397,0
160889,9000,0
2795,941,0
28916,11592,1
30005,1842,0
25588,2096,1
44808,2100,0
57998,3000,1
170707,6017,0
18811,0,0
182545,9000,0
72770,4108,1
66426,2657,0
271305,9703,0
192080,5716,0
29224,2000,0
109924,6000,1
36343,5140,0
80709,2300,0
45060,1407,1
298343,12300,1
22824,6573,0
16033,1593,0
6378,72534,0
125557,2498,0
49707,2000,0
836,2695,0
74270,3200,0
99050,1301,0
72514,5118,1
2342,2951,0
22604,5000,0
10401,2000,1
20069,1700,0
7370,3420,1
25968,1313,0
62261,6615,0
19131,0,1
5105,7261,0
2386,3166,0
30119,1900,0
188463,6536,0
3391,20,1
112320,5073,1
13504,1267,0
6479,1670,1
4639,1838,0
49103,1800,0
41008,2005,1
14433,2394,0
25158,5000,0
70084,3000,1
42067,4055,0
47927,4090,1
5219,0,0
82567,3121,0
252916,9011,0
105587,3627,0
6769,12660,0
151761,5752,0
980,2000,0
957,356,0
25366,5000,0
7582,1200,1
196192,0,0
5885,2000,0
920,1592,0
28412,72234,0
552,552,0
50000,1150,1
9232,68209,0
49808,0,1
142826,3000,0
51686,10068,0
734,9483,0
289995,10015,0
136183,6901,0
110925,5607,0
60099,2500,1
15045,1400,0
990,990,0
20195,1376,0
780,0,1
8827,0,0
147440,5009,0
96832,2592,0
46376,0,1
61367,0,1
51439,20000,0
28057,14412,0
4166,2859,0
20324,1500,0
286706,10480,0
3775,2005,0
29772,1229,0
83760,0,1
1396,1700,0
11639,2552,0
528,0,1
182501,9000,0
41069,315,0
237332,8000,0
79397,2950,1
168318,4163,0
10216,900,1
15794,1281,1
27080,1500,0
223773,8391,0
56331,3004,0
55731,3000,0
3783,2000,0
142024,6500,1
139719,6000,0
12365,90500,0
71201,2691,0
54977,2500,1
135294,7462,0
1134,2995,0
3206,1100,1
9677,4578,0
37984,3900,1
30038,1089,0
10515,1500,0
38333,3000,0
1289,2106,0
110593,4500,0
46035,2000,1
27306,1747,0
127939,5059,0
44076,1810,0
16294,1600,1
25366,36655,0
10941,1300,0
78672,7018,0
159734,4800,1
112774,5000,0
271276,16991,1
41484,1709,0
44344,2021,1
40286,14,0
3245,1867,1
1257,2851,0
33699,1900,1
110359,5000,0
55241,10000,0
83593,2727,0
167795,7299,1
29668,1555,0
678,602,1
156853,5757,0
76054,3275,0
5202,3000,0
48019,2279,0
1622,13016,0
949,40,0
1901,3855,0
46351,1377,0
56602,5000,0
43724,2000,0
33202,2000,1
239715,10469,1
60130,3007,0
86914,6134,0
11995,1528,1
8898,1283,0
6282,5864,0
54809,2612,0
238107,12067,0
81963,15000,0
274610,10556,0
93863,4762,0
23486,3000,0
26648,1600,0
18255,19241,0
25465,4000,0
27044,0,1
141460,8021,0
71855,5000,0
45367,2335,1
8541,0,1
14380,0,0
1000,0,0
9811,6097,0
34228,75113,0
3020,2916,0
5155,0,0
13366,1250,0
3413,0,0
1493,1858,0
9503,0,0
152979,3500,0
1472,1500,1
50220,2055,0
245997,10800,1
16228,30745,0
203340,8064,0
101658,4134,0
30073,3000,0
23498,3600,1
2675,0,1
49144,1837,0
22970,0,0
632,316,0
76118,4196,0
14040,1152,0
45074,2201,1
1104,1164,0
3853,1946,0
6723,17410,0
893,2300,0
126546,4922,0
14765,1000,0
16006,1400,0
1211,2000,0
4338,0,1
696,696,0
223904,0,1
69877,2600,0
4094,0,0
980,4000,1
27044,2000,0
32202,1802,1
41970,1291,0
19061,52498,0
1941,2132,0
560,0,0
15610,3000,0
14939,1000,0
1400,2800,0
65627,2982,0
74818,2400,0
511,0,0
17624,1300,0
22681,20246,0
1650,0,1
95648,5000,0
50899,2000,0
17421,1650,0
2238,2000,1
5838,1300,0
20251,0,1
19401,1650,1
51076,2223,0
15714,13171,0
87842,3021,0
44765,10006,0
14546,1265,1
1919,7389,0
1260,2530,0
116720,7000,0
62281,2500,1
95943,32153,1
1369,4769,0
86774,4200,1
49660,2000,1
85579,3023,0
44238,4000,0
51826,1500,0
87580,3300,0
230131,8500,0
33536,3000,0
8010,1500,0
15938,1317,0
75517,6000,1
87162,4293,0
1597,0,0
51630,4000,0
6892,1294,0
83369,3853,0
28850,0,1
5095,4840,0
700,1428,0
1172,380,0
1496,1496,0
54211,2007,0
48688,2530,0
260783,1743,0
89792,4500,0
32685,4400,1
39847,1719,0
41687,2000,1
52899,1726,0
97733,3500,0
509,14310,0
180387,9000,0
48415,15021,0
68452,3513,0
12196,1300,0
40559,5000,0
539,0,0
8916,318,0
1000,0,1
7684,1200,0
4016,3000,0
17873,3000,0
780,0,0
95205,9300,1
45117,3000,0
1095,2941,0
160413,6011,0
14558,3200,0
4882,5220,1
1170,0,1
78337,3500,1
71065,2566,0
17165,1500,0
50713,3000,0
2395,0,1
7834,1093,1
80166,0,1
24763,10000,1
51047,0,0
34384,2000,0
1600,1815,0
33307,6000,1
24297,5000,0
17809,1300,0
67646,3300,1
628,1,0
119684,5000,0
120533,6000,0
75222,2379,1
236136,0,0
269781,10001,0
4966,1406,0
2395,0,1
14709,9326,0
32244,1841,0
49129,1833,0
27186,1451,1
48668,4034,1
11689,2000,0
102157,5367,0
4262,3000,1
19064,2000,0
25193,10000,0
56261,1993,0
28652,2000,0
217735,9553,0
2202,2911,0
24605,1462,0
250970,10000,0
21670,0,0
114133,10000,1
18787,1400,0
5391,7375,0
118467,4000,0
76112,4500,0
5459,20415,0
53951,3000,0
60819,5000,0
4016,5119,0
1282,367,1
41174,2000,0
694,694,0
42284,1800,0
156387,0,1
15481,3100,1
2006,0,0
58908,1000,1
1309,668,0
38390,4200,0
52692,3000,1
48465,1737,0
18351,1304,1
154432,4000,0
1296,0,0
160069,6000,1
3254,2000,1
3060,1000,0
261326,9166,0
257463,10023,0
110950,2500,0
1443,1443,0
648,39637,0
77052,3000,0
53490,1952,0
253627,10153,0
90880,0,0
1594,4612,0
1288,0,0
2219,0,0
4921,1500,1
21676,0,0
3633,0,0
6461,8117,0
14414,1554,1
49310,0,1
23362,9025,0
7930,1343,0
58032,4800,1
54938,1985,0
12566,3061,0
105338,3600,0
73939,3000,1
61094,3000,0
48198,2195,0
50151,1724,0
4040,0,1
5146,15381,0
68462,3100,0
17845,3384,0
1026,9066,0
33947,4000,0
19455,1500,0
29188,0,1
96343,0,1
148860,6500,0
4479,15499,0
54326,5000,0
58117,2400,0
860,860,0
67087,2400,0
1745,3384,0
25952,1440,1
10722,0,1
13815,0,1
49644,0,0
34529,19000,0
106526,4000,0
3000,2668,0
30646,1500,0
51012,2000,0
16611,18552,0
63354,3000,1
75953,7000,0
105851,5604,0
92626,5000,0
152699,4462,1
58653,2500,1
155124,10000,0
17836,0,1
23064,1281,0
28928,1634,0
131138,6300,0
34713,2000,1
14028,3090,0
189417,3318,1
97528,3562,1
122838,10039,0
4637,1141,0
19381,1600,0
3613,14718,0
15094,1727,0
29504,0,0
133341,6804,0
105440,5300,0
124245,4536,0
2905,0,0
74860,11074,0
29632,1492,0
19446,2000,0
39192,1700,0
4749,6120,0
190693,7000,0
4202,1336,0
11765,6648,0
16935,1500,0
14510,7922,0
47021,2000,0
6570,2287,0
95893,3552,0
1066,0,1
18992,1500,0
162296,13000,0
10682,1200,1
528,0,0
30567,3778,0
7189,0,0
50469,3329,0
6949,2000,1
216170,8000,0
59976,2926,0
10078,1300,0
1330,2103,1
38344,0,1
29751,143713,0
2393,1731,0
9619,6247,0
1566,2891,0
11586,0,1
91930,3500,0
213495,10005,0
619,0,1
230979,7347,0
8951,9117,1
72840,9000,0
29147,1900,1
19650,1500,1
10960,0,1
48844,1898,0
17913,0,1
1313,1421,0
11623,1300,1
23142,5494,0
233756,3000,1
68228,2378,0
289299,15000,0
22753,3000,0
10603,1315,1
10142,1200,1
1653,1734,0
15824,2000,0
23704,0,1
50517,2015,0
43434,2100,1
13429,2500,0
